Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Oddvar Hatlehol	KRF	12	Male	Norsk		1951	NO	Oslo	0301	Oslo
Lilly Kristin Langnes	KRF	13	Female	Norsk		1973	NO	Oslo	0301	Oslo
Yngve Slettholm	KRF	14	Male	Norsk		1955	NO	Oslo	0301	Oslo
Elise Haugland	KRF	15	Female	Norsk		1973	NO	Oslo	0301	Oslo
Gunnar Kvalvaag	KRF	16	Male	Norsk		1947	NO	Oslo	0301	Oslo
Randi Birkeland	KRF	17	Female	Norsk		1983	NO	Oslo	0301	Oslo
Eilev Hegstad	KRF	18	Male	Norsk		1991	NO	Oslo	0301	Oslo
Silje Helene Farner-Calvert	KRF	19	Female	Norsk		1978	NO	Oslo	0301	Oslo
Sverre Vatnar	KRF	20	Male	Norsk		1975	NO	Oslo	0301	Oslo
Lasse Heimdal	KRF	21	Male	Norsk		1962	NO	Oslo	0301	Oslo
Mona Enstad	KRF	22	Female	Norsk		1952	NO	Oslo	0301	Oslo
Gunnar Rein Olsen	KRF	23	Male	Norsk		1956	NO	Oslo	0301	Oslo
Hans Arne Akerø	KRF	24	Male	Norsk		1949	NO	Oslo	0301	Oslo
Mathea Fjukstad Hansen	KRF	25	Female	Norsk		1991	NO	Oslo	0301	Oslo
Victor Calvert	KRF	26	Male	Norsk		1958	NO	Oslo	0301	Oslo
Cung Thi Doan	KRF	27	Female	Non	Vietnamese	1953	NO	Oslo	0301	Oslo
Emil André Erstad	KRF	28	Male	Norsk		1991	NO	Oslo	0301	Oslo
Heidi Sandvand Hegertun	KRF	29	Female	Norsk		1982	NO	Oslo	0301	Oslo
Petter Gjerull	KRF	30	Male	Norsk		1942	NO	Oslo	0301	Oslo
Maria Sau Fong Ho	KRF	31	Female	Non	Chinese	1961	NO	Oslo	0301	Oslo
Eivind Odd Haanes	KRF	32	Male	Norsk		1965	NO	Oslo	0301	Oslo
Honoratte Muhanzi Kashale	KRF	33	Female	Non	Indian	1966	NO	Oslo	0301	Oslo
Kåre Rune Hauge	KRF	34	Male	Norsk		1958	NO	Oslo	0301	Oslo
Anita Ma	KRF	35	Female	Norsk		1961	NO	Oslo	0301	Oslo
Magnus Ledang Husøy	KRF	36	Male	Norsk		1984	NO	Oslo	0301	Oslo
Karoline Grosås Nordbø	KRF	37	Female	Norsk		1985	NO	Oslo	0301	Oslo
Thuong N. Le	KRF	38	Male	Non	Vietnamese	1958	NO	Oslo	0301	Oslo
Eivor Oftestad	KRF	39	Female	Norsk		1972	NO	Oslo	0301	Oslo
Morten Magelssen	KRF	40	Male	Norsk		1978	NO	Oslo	0301	Oslo
Gyro Sølvsberg	KRF	41	Female	Norsk		1956	NO	Oslo	0301	Oslo
Fredrick Otieno Makosir	KRF	42	Male	Norsk		1968	NO	Oslo	0301	Oslo
Benedikte Tollefsen-Minos	KRF	43	Female	Norsk		1966	NO	Oslo	0301	Oslo
Hartvig Opsjøn	KRF	44	Male	Norsk		1950	NO	Oslo	0301	Oslo
Hildegunn Hodne Ulltveit-Moe	KRF	45	Female	Norsk		1945	NO	Oslo	0301	Oslo
Knut Robøle	KRF	46	Male	Norsk		1968	NO	Oslo	0301	Oslo
Sissel Rimehaug Weydahl	KRF	47	Female	Norsk		1949	NO	Oslo	0301	Oslo
Francis Rønnestad	KRF	48	Male	Norsk		1979	NO	Oslo	0301	Oslo
Vibecke Østby	KRF	49	Female	Norsk		1966	NO	Oslo	0301	Oslo
Per Kristian Sbertoli	KRF	50	Male	Norsk		1978	NO	Oslo	0301	Oslo
Hirut Worku	KRF	51	Female	Non	Ethiopian	1958	NO	Oslo	0301	Oslo
Magne Storebø	KRF	52	Male	Norsk		1957	NO	Oslo	0301	Oslo
Sigmund Vefring	KRF	53	Male	Norsk		1985	NO	Oslo	0301	Oslo
Bjørn Wigernæs	KRF	54	Male	Norsk		1942	NO	Oslo	0301	Oslo
Abel Østerberg	KRF	55	Male	Norsk		1935	NO	Oslo	0301	Oslo
Robert Wright	KRF	56	Male	Norsk		1954	NO	Oslo	0301	Oslo
Aud Kvalbein	KRF	57	Female	Norsk		1948	NO	Oslo	0301	Oslo
Torhild Helliesen	KYST	1	Female	Norsk		1942	NO	Oslo	0301	Oslo
Tom Kandal	KYST	2	Male	Norsk		1963	NO	Oslo	0301	Oslo
Bjørn Christian Borch	KYST	3	Male	Norsk		1945	NO	Oslo	0301	Oslo
Per Arne Flæsen	KYST	4	Male	Norsk		1975	NO	Oslo	0301	Oslo
Yan Friis	KYST	5	Male	Norsk		1952	NO	Oslo	0301	Oslo
Andrè Gausen	KYST	6	Male	Norsk		1971	NO	Oslo	0301	Oslo
Erik Gjertsen	KYST	7	Male	Norsk		1946	NO	Oslo	0301	Oslo
Roy Gulbrandsen	KYST	8	Male	Norsk		1963	NO	Oslo	0301	Oslo
Harald Kristoffersen	KYST	9	Male	Norsk		1951	NO	Oslo	0301	Oslo
Yvonne Kristoffersen	KYST	10	Female	Norsk		1957	NO	Oslo	0301	Oslo
Inger Lise Lysberg	KYST	11	Female	Norsk		1947	NO	Oslo	0301	Oslo
Kjell Rendum	KYST	12	Male	Norsk		1948	NO	Oslo	0301	Oslo
Jarle Rosseland	KYST	13	Male	Norsk		1952	NO	Oslo	0301	Oslo
Karl Jørgen Slette	KYST	14	Male	Norsk		1947	NO	Oslo	0301	Oslo
Harald Olav Torhaug	KYST	15	Male	Norsk		1942	NO	Oslo	0301	Oslo
Henry Tschudi	KYST	16	Male	Non	Swiss	1926	NO	Oslo	0301	Oslo
Lillian Woxen	KYST	17	Female	Norsk		1947	NO	Oslo	0301	Oslo
Jan Olav Aamlid	KYST	18	Male	Norsk		1954	NO	Oslo	0301	Oslo
Bastian Winde Harbo	LIBO	1	Male	Norsk		1987	NO	Oslo	0301	Oslo
Roald Ribe	LIBO	2	Male	Norsk		1967	NO	Oslo	0301	Oslo
Harald Hansen	LIBO	3	Male	Norsk		1979	NO	Oslo	0301	Oslo
Fredrik Jomark	LIBO	4	Male	Norsk		1988	NO	Oslo	0301	Oslo
Haakon Sperre	LIBO	5	Male	Norsk		1990	NO	Oslo	0301	Oslo
Nikolai Buer	LIBO	6	Male	Norsk		1977	NO	Oslo	0301	Oslo
Vegard Ottervig	LIBO	7	Male	Norsk		1985	NO	Oslo	0301	Oslo
Lan Marie Nguyen Berg	MDG	1	Female	Norsk		1987	YES	Oslo	0301	Oslo
Harald August Nissen	MDG	2	Male	Norsk		1963	YES	Oslo	0301	Oslo
Beate Folkestad Habhab	MDG	3	Female	Non	Arabic	1961	YES	Oslo	0301	Oslo
Mohammad Shoaib Sultan	MDG	4	Male	Non	Arabic	1973	YES	Oslo	0301	Oslo
Marion Godager Tveter	MDG	5	Female	Norsk		1979	YES	Oslo	0301	Oslo
Pål Thygesen	MDG	6	Male	Norsk		1988	YES	Oslo	0301	Oslo
Marie Loe Halvorsen	MDG	7	Female	Norsk		1987	YES	Oslo	0301	Oslo
Jon Julius Sandal	MDG	8	Male	Norsk		1969	YES	Oslo	0301	Oslo
Hanna Elise Marcussen	MDG	9	Female	Norsk		1977	YES	Oslo	0301	Oslo
Eivind Trædal	MDG	10	Male	Norsk		1985	YES	Oslo	0301	Oslo
Einy Langmoen	MDG	11	Female	Norsk		1957	NO	Oslo	0301	Oslo
Adam Tumidajewicz	MDG	12	Male	Non	East Slavic	1985	NO	Oslo	0301	Oslo
Sirin Hellvin Stav	MDG	13	Female	Norsk		1988	NO	Oslo	0301	Oslo
Rasmus Reinvang	MDG	14	Male	Norsk		1970	NO	Oslo	0301	Oslo
Emma Staffansdotter Langmoen	MDG	15	Female	Norsk		1997	NO	Oslo	0301	Oslo
Stig Einar Rygh-Johansen	MDG	16	Male	Norsk		1963	NO	Oslo	0301	Oslo
Lillian Bredal Eriksen	MDG	17	Female	Norsk		1970	NO	Oslo	0301	Oslo
Kristoffer Robin Haug	MDG	18	Male	Norsk		1984	NO	Oslo	0301	Oslo
Julie Mørch	MDG	19	Female	Norsk		1990	NO	Oslo	0301	Oslo
Torkil Vederhus	MDG	20	Male	Norsk		1989	NO	Oslo	0301	Oslo
Sabina Syed	MDG	21	Female	Non	Arabic	1991	NO	Oslo	0301	Oslo
Leif Ari Ingholm	MDG	22	Male	Norsk		1981	NO	Oslo	0301	Oslo
Sara Marie Blichner	MDG	23	Female	Norsk		1989	NO	Oslo	0301	Oslo
Andrew Kroglund	MDG	24	Male	Norsk		1959	NO	Oslo	0301	Oslo
Helene Gallis	MDG	25	Female	Norsk		1977	NO	Oslo	0301	Oslo
Demmelash Mengistu	MDG	26	Male	Non	Ethiopian	1969	NO	Oslo	0301	Oslo
Ida Beth Hald	MDG	27	Female	Norsk		1958	NO	Oslo	0301	Oslo
John Slinning Jannesson	MDG	28	Male	Norsk		1990	NO	Oslo	0301	Oslo
Kristine Schøyen Berdal	MDG	29	Female	Norsk		1985	NO	Oslo	0301	Oslo
Geir Storli Jensen	MDG	30	Male	Norsk		1989	NO	Oslo	0301	Oslo
Solveig Arnesen	MDG	31	Female	Norsk		1978	NO	Oslo	0301	Oslo
Anders Skyrud Danielsen	MDG	32	Male	Norsk		1989	NO	Oslo	0301	Oslo
Siri Mittet	MDG	33	Female	Norsk		1973	NO	Oslo	0301	Oslo
Mattis Ulvang	MDG	34	Male	Norsk		1990	NO	Oslo	0301	Oslo
Elsa-Britt Enger	MDG	35	Female	Norsk		1942	NO	Oslo	0301	Oslo
Øyvind Vea	MDG	36	Male	Norsk		1977	NO	Oslo	0301	Oslo
Eline Solum Gran	MDG	37	Female	Norsk		1987	NO	Oslo	0301	Oslo
Knut Frederik Horn	MDG	38	Male	Norsk		1945	NO	Oslo	0301	Oslo
Ingrid Schei	MDG	39	Female	Norsk		1986	NO	Oslo	0301	Oslo
Christian  Dubrau	MDG	40	Male	Norsk		1983	NO	Oslo	0301	Oslo
Ingrid Marie Mikelsen	MDG	41	Female	Norsk		1976	NO	Oslo	0301	Oslo
Finn Dyrkorn	MDG	42	Male	Norsk		1966	NO	Oslo	0301	Oslo
Maria Kalstø	MDG	43	Female	Norsk		1987	NO	Oslo	0301	Oslo
Vegard Setrom	MDG	44	Male	Norsk		1988	NO	Oslo	0301	Oslo
Maret Petersson	MDG	45	Female	Norsk		1984	NO	Oslo	0301	Oslo
Fredrik Arentz	MDG	46	Male	Non	German	1949	NO	Oslo	0301	Oslo
Isa Maline Alstadius Isene	MDG	47	Female	Non	Hebrew	1992	NO	Oslo	0301	Oslo
John Hille	MDG	48	Male	Norsk		1954	NO	Oslo	0301	Oslo
Frøydis Strømme Jørve	MDG	49	Female	Norsk		1977	NO	Oslo	0301	Oslo
Joakim Skajaa	MDG	50	Male	Norsk		1978	NO	Oslo	0301	Oslo
Ragnhild Laird Iversen	MDG	51	Female	Norsk		1979	NO	Oslo	0301	Oslo
Alexander Melli	MDG	52	Male	Norsk		1971	NO	Oslo	0301	Oslo
Ingeborg Elise Vardøen	MDG	53	Female	Norsk		1940	NO	Oslo	0301	Oslo
Joachim Dyrdahl	MDG	54	Male	Norsk		1979	NO	Oslo	0301	Oslo
Jane Helen Johansen	MDG	55	Female	Norsk		1977	NO	Oslo	0301	Oslo
Erling Dokk Holm	MDG	56	Male	Norsk		1964	NO	Oslo	0301	Oslo
Anne Dubrau	MDG	57	Female	Norsk		1986	NO	Oslo	0301	Oslo
Dag Olav Hessen	MDG	58	Male	Norsk		1956	NO	Oslo	0301	Oslo
Julie Ness	MDG	59	Female	Norsk		1985	NO	Oslo	0301	Oslo
Thomas Hylland Eriksen	MDG	60	Male	Norsk		1962	NO	Oslo	0301	Oslo
Nina Witoszek	MDG	61	Female	Non	East Slavic	1954	NO	Oslo	0301	Oslo
Lars Lillo-Stenberg	MDG	62	Male	Norsk		1962	NO	Oslo	0301	Oslo
Synne Øverland Knudsen	MDG	63	Female	Norsk		1989	NO	Oslo	0301	Oslo
Erlend Loe	MDG	64	Male	Norsk		1969	NO	Oslo	0301	Oslo
Ingvild Hedemann Rishøi	MDG	65	Female	Norsk		1978	NO	Oslo	0301	Oslo
Ellen Johansen Ormberg	NKP	1	Female	Norsk		1989	NO	Oslo	0301	Oslo
Mayo Bustos Alfaro	NKP	2	Male	Non	Spanish	1956	NO	Oslo	0301	Oslo
Adrian Larsen Steinbø	NKP	3	Male	Norsk		1991	NO	Oslo	0301	Oslo
Anne-Catherin Gonzales	NKP	4	Female	Non	Spanish	1990	NO	Oslo	0301	Oslo
Mathias Frednes	NKP	5	Male	Norsk		1992	NO	Oslo	0301	Oslo
Fredrik Røe Brevig	NKP	6	Male	Norsk		1991	NO	Oslo	0301	Oslo
Sara Josefine Johansen	NKP	7	Female	Norsk		1993	NO	Oslo	0301	Oslo
Lars Skaret	NKP	8	Male	Norsk		1986	NO	Oslo	0301	Oslo
Steinar Åge Brenden	NKP	9	Male	Norsk		1948	NO	Oslo	0301	Oslo
Dag Hagen	NKP	10	Male	Norsk		1955	NO	Oslo	0301	Oslo
Martin Gunnar Nag	NKP	11	Male	Norsk		1927	NO	Oslo	0301	Oslo
Hans Petter Hansen	NKP	12	Male	Norsk		1936	NO	Oslo	0301	Oslo
Arne Jørgensen	NKP	13	Male	Norsk		1922	NO	Oslo	0301	Oslo
Geir Olav Tungland	KRISTNE	1	Male	Norsk		1989	YES	Oslo	0301	Oslo
Francis K. Acquah	KRISTNE	2	Male	Non	Ghanian	1973	YES	Oslo	0301	Oslo
Sunniva Laake	KRISTNE	3	Female	Norsk		1953	NO	Oslo	0301	Oslo
Karl Tobias Hansen	KRISTNE	4	Male	Norsk		1992	NO	Oslo	0301	Oslo
Joseph B. Conteh	KRISTNE	5	Male	Norsk		1960	NO	Oslo	0301	Oslo
Olav Mo Grimdalen	KRISTNE	6	Male	Norsk		1934	NO	Oslo	0301	Oslo
Vigdis Ø. Wilhelmsen	KRISTNE	7	Female	Norsk		1944	NO	Oslo	0301	Oslo
Thore Lie	KRISTNE	8	Male	Norsk		1944	NO	Oslo	0301	Oslo
Tore Wilhelmsen	KRISTNE	9	Male	Norsk		1942	NO	Oslo	0301	Oslo
Johny Oddleif Røst	KRISTNE	10	Male	Norsk		1950	NO	Oslo	0301	Oslo
Miloslav Brandl Hellenes	KRISTNE	11	Male	Non	West Slavic	1950	NO	Oslo	0301	Oslo
Samuel Ahenkorah	KRISTNE	12	Male	Non	Ghanian	1996	NO	Oslo	0301	Oslo
Inger Lorentzen	KRISTNE	13	Female	Norsk		1948	NO	Oslo	0301	Oslo
Terje Lorentzen	KRISTNE	14	Male	Norsk		1945	NO	Oslo	0301	Oslo
Lisa Benedikte Albrigtsen	KRISTNE	15	Female	Norsk		1992	NO	Oslo	0301	Oslo
May Østhassel	KRISTNE	16	Female	Norsk		1955	NO	Oslo	0301	Oslo
Freddy Wahl Stensby	KRISTNE	17	Male	Norsk		1970	NO	Oslo	0301	Oslo
Lillan Nora Berglund	KRISTNE	18	Female	Norsk		1955	NO	Oslo	0301	Oslo
Einar Olaf Lonstad	PP	1	Male	Norsk		1945	YES	Oslo	0301	Oslo
Jorunn Marie Grønnevik	PP	2	Female	Norsk		1948	NO	Oslo	0301	Oslo
